codigo_ocorrencia3,fator_nome,total_fatores,fator_humano,fator_operacional,fator_material,fator_meteorologico,fator_outro
43628,"ESQUECIMENTO DO PILOTO,INDISCIPLINA DE VOO",2,0,2,0,0,0
43629,"ATENÇÃO,ATITUDE,COMUNICAÇÃO,CONDIÇÕES FÍSICAS DO TRABALHO,CULTURA ORGANIZACIONAL,ESTADO EMOCIONAL,INFLUÊNCIA DO MEIO AMBIENTE,INSTRUÇÃO,JULGAMENTO DE PILOTAGEM,MOTIVAÇÃO,POUCA EXPERIÊNCIA DO PILOTO,PROCESSO DECISÓRIO,PROCESSOS ORGANIZACIONAIS,SUPERVISÃO GERENCIAL",14,10,4,0,0,0
43633,"APLICAÇÃO DE COMANDOS,CONDIÇÕES METEOROLÓGICAS ADVERSAS,COORDENAÇÃO DE CABINE,INFRAESTRUTURA AEROPORTUÁRIA,JULGAMENTO DE PILOTAGEM,OUTRO FATOR",6,0,4,0,1,1
43657,"APLICAÇÃO DE COMANDOS,INSTRUÇÃO,JULGAMENTO DE PILOTAGEM",3,0,3,0,0,0
43658,"APLICAÇÃO DE COMANDOS,ATENÇÃO,CARACTERÍSTICAS DA TAREFA,CULTURA ORGANIZACIONAL,ESTADO EMOCIONAL,INFLUÊNCIAS EXTERNAS,MOTIVAÇÃO,PERCEPÇÃO,RELAÇÕES INTERPESSOAIS,SUPERVISÃO GERENCIAL",10,8,2,0,0,0
43702,"COORDENAÇÃO DE CABINE,DINÂMICA DE EQUIPE,FABRICAÇÃO,JULGAMENTO DE PILOTAGEM,MEMÓRIA,ORGANIZAÇÃO DO TRABALHO,POUCA EXPERIÊNCIA DO PILOTO,PROCESSO DECISÓRIO",8,4,3,1,0,0
43703,"CONDIÇÕES METEOROLÓGICAS ADVERSAS,JULGAMENTO DE PILOTAGEM,PLANEJAMENTO DE VOO",3,0,2,0,1,0
43704,"COMUNICAÇÃO,CULTURA ORGANIZACIONAL,MANUTENÇÃO DE AERONAVE,ORGANIZAÇÃO DO TRABALHO,PROCESSOS ORGANIZACIONAIS,RELAÇÕES INTERPESSOAIS,SUPERVISÃO GERENCIAL",7,5,2,0,0,0
43705,"ATITUDE,CONDIÇÕES METEOROLÓGICAS ADVERSAS,DESVIO DE NAVEGAÇÃO,ESTADO EMOCIONAL,OBESIDADE,PROCESSO DECISÓRIO,PUBLICAÇÕES (ATS)",7,4,2,0,1,0
43706,MANUTENÇÃO DE AERONAVE,1,0,1,0,0,0
43719,"APLICAÇÃO DE COMANDOS,ATITUDE,CONDIÇÕES METEOROLÓGICAS ADVERSAS,COORDENAÇÃO DE CABINE,CULTURA ORGANIZACIONAL,DINÂMICA DE EQUIPE,ESTADO EMOCIONAL,INDISCIPLINA DE VOO,INSTRUÇÃO,JULGAMENTO DE PILOTAGEM,ORGANIZAÇÃO DO TRABALHO,PLANEJAMENTO DE VOO,POUCA EXPERIÊNCIA DO PILOTO,PROCESSO DECISÓRIO,SUPERVISÃO GERENCIAL",15,6,8,0,1,0
43721,MANUTENÇÃO DE AERONAVE,1,0,1,0,0,0
